Designator,Mid X,Mid Y,Rotation,Layer
SH1._200_.P3,46.0,-33.0,0.0,top
SH1._200_.P4,48.0,-33.0,0.0,top
SH1._201_.N1,8.0,-31.0,180.0,top
SH1._201_.N2,10.0,-31.0,180.0,top
SH1._201_.N3,12.0,-31.0,180.0,top
SH1._201_.N4,14.0,-31.0,180.0,top
SH1._201_.P1,8.0,-33.0,0.0,top
SH1._201_.P2,10.0,-33.0,0.0,top
SH1._201_.P3,12.0,-33.0,0.0,top
SH1._201_.P4,14.0,-33.0,0.0,top
SH1._202_.N1,8.0,-29.0,0.0,top
SH1._202_.N2,10.0,-29.0,0.0,top
SH1._202_.N3,12.0,-29.0,0.0,top
SH1._202_.N4,14.0,-29.0,0.0,top
SH1._202_.P1,8.0,-27.0,180.0,top
SH1._202_.P2,10.0,-27.0,180.0,top
SH1._202_.P3,12.0,-27.0,180.0,top
SH1._202_.P4,14.0,-27.0,180.0,top
SH1._203_.N1,9.0,-45.0,0.0,top
SH1._203_.N2,11.0,-45.0,0.0,top
SH1._203_.N3,13.0,-45.0,0.0,top
SH1._203_.N4,15.0,-45.0,0.0,top
SH1._203_.P1,9.0,-43.0,180.0,top
SH1._203_.P2,11.0,-43.0,180.0,top
SH1._203_.P3,13.0,-43.0,180.0,top
SH1._203_.P4,15.0,-43.0,180.0,top
SH1._204_.N1,8.0,-55.0,180.0,top
SH1._204_.N2,10.0,-55.0,180.0,top
SH1._204_.N3,12.0,-55.0,180.0,top
SH1._204_.N4,14.0,-55.0,180.0,top
SH1._204_.P1,8.0,-57.0,0.0,top
SH1._204_.P2,10.0,-57.0,0.0,top
SH1._204_.P3,12.0,-57.0,0.0,top
SH1._204_.P4,14.0,-57.0,0.0,top
SH1._205_.N1,16.0,-55.0,180.0,top
SH1._205_.N2,18.0,-55.0,180.0,top
SH1._205_.N3,20.0,-55.0,180.0,top
SH1._205_.N4,22.0,-55.0,180.0,top
SH1._205_.P1,16.0,-57.0,0.0,top
SH1._205_.P2,18.0,-57.0,0.0,top
SH1._205_.P3,20.0,-57.0,0.0,top
SH1._205_.P4,22.0,-57.0,0.0,top
SH1._206_.N1,25.0,-61.0,0.0,top
SH1._206_.N2,27.0,-61.0,0.0,top
SH1._206_.N3,29.0,-61.0,0.0,top
SH1._206_.N4,31.0,-61.0,0.0,top
SH1._206_.P1,25.0,-59.0,180.0,top
SH1._206_.P2,27.0,-59.0,180.0,top
SH1._206_.P3,29.0,-59.0,180.0,top
SH1._206_.P4,31.0,-59.0,180.0,top
SH1._207_.N1,8.0,-63.0,180.0,top
SH1._207_.N2,10.0,-63.0,180.0,top
SH1._207_.N3,12.0,-63.0,180.0,top
SH1._207_.N4,14.0,-63.0,180.0,top
SH1._207_.P1,8.0,-65.0,0.0,top
SH1._207_.P2,10.0,-65.0,0.0,top
SH1._207_.P3,12.0,-65.0,0.0,top
SH1._207_.P4,14.0,-65.0,0.0,top
SH1._208_.N1,8.0,-69.0,0.0,top
SH1._208_.N2,10.0,-69.0,0.0,top
SH1._208_.N3,12.0,-69.0,0.0,top
SH1._208_.N4,14.0,-69.0,0.0,top
SH1._208_.P1,8.0,-67.0,180.0,top
SH1._208_.P2,10.0,-67.0,180.0,top
SH1._208_.P3,12.0,-67.0,180.0,top
SH1._208_.P4,14.0,-67.0,180.0,top
SH1._209_.N1,25.0,-63.0,180.0,top
SH1._209_.N2,27.0,-63.0,180.0,top
SH1._209_.N3,29.0,-63.0,180.0,top
SH1._209_.N4,31.0,-63.0,180.0,top
SH1._209_.P1,25.0,-65.0,0.0,top
SH1._209_.P2,27.0,-65.0,0.0,top
SH1._209_.P3,29.0,-65.0,0.0,top
SH1._209_.P4,31.0,-65.0,0.0,top
SH1._210_.N1,16.0,-63.0,180.0,top
SH1._210_.N2,18.0,-63.0,180.0,top
SH1._210_.N3,20.0,-63.0,180.0,top
SH1._210_.N4,22.0,-63.0,180.0,top
SH1._210_.P1,16.0,-65.0,0.0,top
SH1._210_.P2,18.0,-65.0,0.0,top
SH1._210_.P3,20.0,-65.0,0.0,top
SH1._210_.P4,22.0,-65.0,0.0,top
SH1._211_.N1,42.0,-37.0,0.0,top
SH1._211_.N2,44.0,-37.0,0.0,top
SH1._211_.N3,46.0,-37.0,0.0,top
SH1._211_.N4,48.0,-37.0,0.0,top
SH1._211_.P1,42.0,-35.0,180.0,top
SH1._211_.P2,44.0,-35.0,180.0,top
SH1._211_.P3,46.0,-35.0,180.0,top
SH1._211_.P4,48.0,-35.0,180.0,top
SH1._212_.N1,9.0,-61.0,0.0,top
SH1._212_.N2,11.0,-61.0,0.0,top
SH1._212_.N3,13.0,-61.0,0.0,top
SH1._212_.N4,15.0,-61.0,0.0,top
SH1._212_.P1,9.0,-59.0,180.0,top
SH1._212_.P2,11.0,-59.0,180.0,top
SH1._212_.P3,13.0,-59.0,180.0,top
SH1._212_.P4,15.0,-59.0,180.0,top
SH1._213_.N1,17.0,-45.0,0.0,top
SH1._213_.N2,19.0,-45.0,0.0,top
SH1._213_.N3,21.0,-45.0,0.0,top
SH1._213_.N4,23.0,-45.0,0.0,top
SH1._213_.P1,17.0,-43.0,180.0,top
SH1._213_.P2,19.0,-43.0,180.0,top
SH1._213_.P3,21.0,-43.0,180.0,top
SH1._213_.P4,23.0,-43.0,180.0,top
SH1._214_.N1,8.0,-47.0,180.0,top
SH1._214_.N2,10.0,-47.0,180.0,top
SH1._214_.N3,12.0,-47.0,180.0,top
SH1._214_.N4,14.0,-47.0,180.0,top
SH1._214_.P1,8.0,-49.0,0.0,top
SH1._214_.P2,10.0,-49.0,0.0,top
SH1._214_.P3,12.0,-49.0,0.0,top
SH1._214_.P4,14.0,-49.0,0.0,top
SH1._215_.N1,9.0,-37.0,0.0,top
SH1._215_.N2,11.0,-37.0,0.0,top
SH1._215_.N3,13.0,-37.0,0.0,top
SH1._215_.N4,15.0,-37.0,0.0,top
SH1._215_.P1,9.0,-35.0,180.0,top
SH1._215_.P2,11.0,-35.0,180.0,top
SH1._215_.P3,13.0,-35.0,180.0,top
SH1._215_.P4,15.0,-35.0,180.0,top
SH1._216_.N1,25.0,-45.0,0.0,top
SH1._216_.N2,27.0,-45.0,0.0,top
SH1._216_.N3,29.0,-45.0,0.0,top
SH1._216_.N4,31.0,-45.0,0.0,top
SH1._216_.P1,25.0,-43.0,180.0,top
SH1._216_.P2,27.0,-43.0,180.0,top
SH1._216_.P3,29.0,-43.0,180.0,top
SH1._216_.P4,31.0,-43.0,180.0,top
SH1._217_.N1,13.0,-85.0,0.0,top
SH1._217_.P1,13.0,-83.0,180.0,top
SH1._218_.N1,30.0,-77.0,0.0,top
SH1._218_.P1,30.0,-75.0,180.0,top
SH1._219_.N1,48.0,-21.0,0.0,top
SH1._219_.P1,48.0,-19.0,180.0,top
SH1._220_.N1,42.0,-7.0,180.0,top
SH1._220_.N2,44.0,-7.0,180.0,top
SH1._220_.N3,46.0,-7.0,180.0,top
SH1._220_.N4,48.0,-7.0,180.0,top
SH1._220_.P1,42.0,-9.0,0.0,top
SH1._220_.P2,44.0,-9.0,0.0,top
SH1._220_.P3,46.0,-9.0,0.0,top
SH1._220_.P4,48.0,-9.0,0.0,top
SH1._221_.N1,9.0,-21.0,0.0,top
SH1._221_.N2,11.0,-21.0,0.0,top
SH1._221_.N3,13.0,-21.0,0.0,top
SH1._221_.N4,15.0,-21.0,0.0,top
SH1._221_.P1,9.0,-19.0,180.0,top
SH1._221_.P2,11.0,-19.0,180.0,top
SH1._221_.P3,13.0,-19.0,180.0,top
SH1._221_.P4,15.0,-19.0,180.0,top
SH1._222_.N1,8.0,-23.0,180.0,top
SH1._222_.N2,10.0,-23.0,180.0,top
SH1._222_.N3,12.0,-23.0,180.0,top
SH1._222_.N4,14.0,-23.0,180.0,top
SH1._222_.P1,8.0,-25.0,0.0,top
SH1._222_.P2,10.0,-25.0,0.0,top
SH1._222_.P3,12.0,-25.0,0.0,top
SH1._222_.P4,14.0,-25.0,0.0,top
SH1._223_.N1,8.0,-39.0,180.0,top
SH1._223_.N2,10.0,-39.0,180.0,top
SH1._223_.N3,12.0,-39.0,180.0,top
SH1._223_.N4,14.0,-39.0,180.0,top
SH1._223_.P1,8.0,-41.0,0.0,top
SH1._223_.P2,10.0,-41.0,0.0,top
SH1._223_.P3,12.0,-41.0,0.0,top
SH1._223_.P4,14.0,-41.0,0.0,top
SH1._224_.N1,9.0,-53.0,0.0,top
SH1._224_.N2,11.0,-53.0,0.0,top
SH1._224_.N3,13.0,-53.0,0.0,top
SH1._224_.N4,15.0,-53.0,0.0,top
SH1._224_.P1,9.0,-51.0,180.0,top
SH1._224_.P2,11.0,-51.0,180.0,top
SH1._224_.P3,13.0,-51.0,180.0,top
SH1._224_.P4,15.0,-51.0,180.0,top
SH1._225_.N1,17.0,-61.0,0.0,top
SH1._225_.N2,19.0,-61.0,0.0,top
SH1._225_.N3,21.0,-61.0,0.0,top
SH1._225_.N4,23.0,-61.0,0.0,top
SH1._225_.P1,17.0,-59.0,180.0,top
SH1._225_.P2,19.0,-59.0,180.0,top
SH1._225_.P3,21.0,-59.0,180.0,top
SH1._225_.P4,23.0,-59.0,180.0,top
SH1._226_.N1,16.0,-69.0,0.0,top
SH1._226_.N2,18.0,-69.0,0.0,top
SH1._226_.N3,20.0,-69.0,0.0,top
SH1._226_.N4,22.0,-69.0,0.0,top
SH1._226_.P1,16.0,-67.0,180.0,top
SH1._226_.P2,18.0,-67.0,180.0,top
SH1._226_.P3,20.0,-67.0,180.0,top
SH1._226_.P4,22.0,-67.0,180.0,top
SH1._227_.N1,12.0,-77.0,0.0,top
SH1._227_.N2,14.0,-77.0,0.0,top
SH1._227_.N3,16.0,-77.0,0.0,top
SH1._227_.N4,18.0,-77.0,0.0,top
SH1._227_.P1,12.0,-75.0,180.0,top
SH1._227_.P2,14.0,-75.0,180.0,top
SH1._227_.P3,16.0,-75.0,180.0,top
SH1._227_.P4,18.0,-75.0,180.0,top
SH1._228_.N1,8.0,-71.0,180.0,top
SH1._228_.N2,10.0,-71.0,180.0,top
SH1._228_.N3,12.0,-71.0,180.0,top
SH1._228_.N4,14.0,-71.0,180.0,top
SH1._228_.P1,8.0,-73.0,0.0,top
SH1._228_.P2,10.0,-73.0,0.0,top
SH1._228_.P3,12.0,-73.0,0.0,top
