transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'01,10.0,10.0,150.0,14.405479999999999,2.47252,74.810791015625,26.20239257812501
'10,10.0,10.0,150.0,17.82292,2.632247,65.94848632812501,20.83129882812501
'01,10.0,20.0,10.0,17.668049999999997,2.471974,27.947998046875007,17.071533203125007
'10,10.0,20.0,10.0,21.11986,2.6324199999999998,21.771240234375007,1.8981933593750067
'01,10.0,20.0,20.0,17.668089999999996,2.471497,28.753662109375007,16.13159179687501
'10,10.0,20.0,20.0,21.11991,2.632109,22.71118164062501,0.9582519531250064
'01,10.0,20.0,40.0,17.668049999999997,2.471974,32.37915039062501,13.311767578125007
'10,10.0,20.0,40.0,21.11986,2.6324199999999998,26.336669921875007,-0.9216308593749938
'01,10.0,20.0,100.0,17.66797,2.4719459999999995,51.715087890625,12.506103515625007
'10,10.0,20.0,100.0,21.11977,2.6324199999999998,43.38989257812501,7.135009765625008
'01,10.0,20.0,150.0,17.66733,2.4717409999999997,67.559814453125,25.531005859375007
'10,10.0,20.0,150.0,21.11978,2.631941,56.011962890625014,17.47436523437501
'01,10.0,40.0,10.0,23.405929999999998,2.471422,19.757080078125014,20.697021484375007
'10,10.0,40.0,10.0,26.91169,2.6320829999999997,12.371826171875007,5.523681640625006
'01,10.0,40.0,20.0,23.405929999999998,2.471422,20.697021484375007,19.757080078125014
'10,10.0,40.0,20.0,26.91169,2.6320829999999997,13.311767578125007,4.583740234375007
'01,10.0,40.0,40.0,23.405929999999998,2.471422,24.32250976562501,16.93725585937501
'10,10.0,40.0,40.0,26.91169,2.6320829999999997,16.802978515625007,1.8981933593750067
'01,10.0,40.0,100.0,23.405849999999997,2.4713909999999997,42.718505859375014,16.40014648437501
'10,10.0,40.0,100.0,26.9116,2.6320789999999996,31.439208984375018,6.732177734375008
'01,10.0,40.0,150.0,23.40522,2.470949,56.951904296875014,26.73950195312501
'10,10.0,40.0,150.0,26.911459999999998,2.632497,41.24145507812501,14.251708984375007
'01,10.0,100.0,10.0,38.253679999999996,2.4736949999999998,1.6296386718750064,37.21313476562501
'10,10.0,100.0,10.0,41.882729999999995,2.633339,-8.172607421874995,22.039794921875007
'01,10.0,100.0,20.0,38.253679999999996,2.4736949999999998,2.5695800781250067,36.273193359375014
