transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'10,20.0,10.0,100.0,18.73179,3.384911,51.715087890625,9.686279296875009
'01,20.0,10.0,150.0,15.222610000000001,3.2170449999999997,78.302001953125,30.499267578125014
'10,20.0,10.0,150.0,18.731709999999996,3.385577,66.88842773437501,22.308349609375007
'01,20.0,20.0,10.0,18.48482,3.2160309999999996,29.425048828125007,16.40014648437501
'10,20.0,20.0,10.0,22.03123,3.3849799999999997,22.17407226562501,1.2268066406250067
'01,20.0,20.0,20.0,18.484759999999998,3.215995,30.364990234375018,15.460205078125007
'10,20.0,20.0,20.0,22.03121,3.385681,23.114013671875007,0.4211425781250064
'01,20.0,20.0,40.0,18.48482,3.2160309999999996,33.99047851562501,12.506103515625007
'10,20.0,20.0,40.0,22.03123,3.3849799999999997,26.605224609375007,-0.1159667968749937
'01,20.0,20.0,100.0,18.48473,3.216003,53.99780273437502,15.32592773437501
'10,20.0,20.0,100.0,22.03107,3.384981,44.06127929687501,8.343505859375009
'01,20.0,20.0,150.0,18.48397,3.215249,70.91674804687503,29.69360351562501
'10,20.0,20.0,150.0,22.03101,3.385389,57.22045898437502,19.08569335937501
'01,20.0,40.0,10.0,24.2222,3.2151509999999996,21.234130859375007,20.02563476562501
'10,20.0,40.0,10.0,27.82677,3.385725,12.774658203125007,5.255126953125006
'01,20.0,40.0,20.0,24.2222,3.2151509999999996,22.039794921875007,19.08569335937501
'10,20.0,40.0,20.0,27.82677,3.385725,13.714599609375007,4.315185546875007
'01,20.0,40.0,40.0,24.2222,3.2151509999999996,25.66528320312501,16.13159179687501
'10,20.0,40.0,40.0,27.82677,3.385725,17.340087890625007,2.7038574218750067
'01,20.0,40.0,100.0,24.222109999999997,3.2151209999999995,44.866943359375014,17.74291992187501
'10,20.0,40.0,100.0,27.82661,3.3857209999999998,32.37915039062501,8.074951171875007
'01,20.0,40.0,150.0,24.22135,3.214555,60.17456054687503,30.63354492187501
'10,20.0,40.0,150.0,27.82649,3.3852409999999997,42.584228515625,15.997314453125007
'01,20.0,100.0,10.0,39.06982,3.2146889999999995,2.7038574218750067,36.54174804687501
'10,20.0,100.0,10.0,42.806,3.38586,-7.635498046874995,21.09985351562501
'01,20.0,100.0,20.0,39.06982,3.2146889999999995,3.6437988281250067,35.60180664062501
'10,20.0,100.0,20.0,42.806,3.38586,-6.695556640624994,20.15991210937501
'01,20.0,100.0,40.0,39.06982,3.2146889999999995,7.135009765625008,32.647705078125014
'10,20.0,100.0,40.0,42.806,3.38586,-3.2043457031249942,16.66870117187501
'01,20.0,100.0,100.0,39.06972999999999,3.2146619999999997,24.59106445312501,31.976318359375018
'10,20.0,100.0,100.0,42.805859999999996,3.3858539999999997,7.537841796875007,14.251708984375007
'01,20.0,100.0,150.0,39.06892,3.214495,37.75024414062501,38.555908203125014
'10,20.0,100.0,150.0,42.80584999999999,3.386283,13.580322265625007,18.01147460937501
'01,20.0,150.0,10.0,50.23216,3.2165549999999996,-10.186767578124995,47.82104492187501
'10,20.0,150.0,10.0,54.052479999999996,3.386667,-21.600341796874996,32.37915039062501
'01,20.0,150.0,20.0,50.23216,3.2165549999999996,-9.246826171874995,46.881103515625
'10,20.0,150.0,20.0,54.052479999999996,3.386667,-20.660400390625,31.439208984375018
'01,20.0,150.0,40.0,50.23216,3.2165549999999996,-5.621337890624994,44.06127929687501
'10,20.0,150.0,40.0,54.052479999999996,3.386667,-17.169189453124996,27.81372070312501
'01,20.0,150.0,100.0,50.23206999999999,3.216522,11.029052734375007,43.255615234375014
'10,20.0,150.0,100.0,54.05235,3.386663,-8.441162109374995,22.039794921875007
'01,20.0,150.0,150.0,50.23128,3.216236,23.114013671875007,49.43237304687501
'10,20.0,150.0,150.0,54.05229,3.3866609999999997,-4.412841796874995,23.919677734375007
'01,40.0,10.0,10.0,16.33306,4.540107,35.736083984375014,14.520263671875007
'10,40.0,10.0,10.0,20.0037,4.780882,27.947998046875007,-0.5187988281249938
'01,40.0,10.0,20.0,16.33303,4.540093,36.67602539062501,13.580322265625007
'10,40.0,10.0,20.0,20.00373,4.780762,28.887939453125007,-1.3244628906249936
'01,40.0,10.0,40.0,16.33306,4.540107,40.30151367187501,10.760498046875007
'10,40.0,10.0,40.0,20.0037,4.780882,32.513427734375014,-1.0559082031249938
'01,40.0,10.0,100.0,16.332959999999996,4.540077999999999,61.24877929687503,16.802978515625007
'10,40.0,10.0,100.0,20.003529999999998,4.780882,51.31225585937501,9.686279296875009
'01,40.0,10.0,150.0,16.332099999999997,4.53989,80.181884765625,33.050537109375014
'10,40.0,10.0,150.0,20.003439999999998,4.78085,66.485595703125,22.308349609375007
'01,40.0,20.0,10.0,19.5939,4.5384899999999995,30.364990234375018,15.460205078125007
'10,40.0,20.0,10.0,23.302699999999998,4.781026,22.039794921875007,1.4953613281250064
'01,40.0,20.0,20.0,19.59379,4.538386999999999,31.304931640625007,14.520263671875007
'10,40.0,20.0,20.0,23.30266,4.780891,22.97973632812501,0.6896972656250063
'01,40.0,20.0,40.0,19.5939,4.5384899999999995,34.93041992187501,11.700439453125007
'10,40.0,20.0,40.0,23.302699999999998,4.781026,26.47094726562501,0.15258789062500633
'01,40.0,20.0,100.0,19.593799999999998,4.538463,55.340576171875014,17.340087890625007
'10,40.0,20.0,100.0,23.302539999999997,4.781026,43.92700195312501,8.746337890625009
'01,40.0,20.0,150.0,19.59292,4.53799,73.06518554687501,32.513427734375014
'10,40.0,20.0,150.0,23.30244,4.780745,57.086181640625014,19.488525390625014
'01,40.0,40.0,10.0,25.330779999999997,4.536842999999999,22.039794921875007,19.08569335937501
'10,40.0,40.0,10.0,29.097839999999998,4.780899,12.774658203125007,5.657958984375006
'01,40.0,40.0,20.0,25.330779999999997,4.536842999999999,22.97973632812501,18.145751953125007
'10,40.0,40.0,20.0,29.097839999999998,4.780899,13.714599609375007,4.718017578125007
'01,40.0,40.0,40.0,25.330779999999997,4.536842999999999,26.605224609375007,15.32592773437501
'10,40.0,40.0,40.0,29.097839999999998,4.780899,17.340087890625007,3.1066894531250067
'01,40.0,40.0,100.0,25.33068,4.536814,46.07543945312501,19.757080078125014
'10,40.0,40.0,100.0,29.09769,4.780899,32.37915039062501,8.612060546875009
'01,40.0,40.0,150.0,25.329759999999997,4.536388,62.188720703125,33.31909179687501
'10,40.0,40.0,150.0,29.097589999999997,4.781134,42.85278320312501,16.66870117187501
'01,40.0,100.0,10.0,40.177929999999996,4.535051,3.3752441406250067,35.60180664062501
'10,40.0,100.0,10.0,44.07655999999999,4.781722,-7.635498046874995,20.02563476562501
'01,40.0,100.0,20.0,40.177929999999996,4.535051,4.315185546875007,34.661865234375014
'10,40.0,100.0,20.0,44.07655999999999,4.781722,-6.695556640624994,19.219970703125014
'01,40.0,100.0,40.0,40.177929999999996,4.535051,7.806396484375007,31.842041015625007
'10,40.0,100.0,40.0,44.07655999999999,4.781722,-3.0700683593749942,15.59448242187501
'01,40.0,100.0,100.0,40.177839999999996,4.5350209999999995,25.799560546875007,31.304931640625007
'10,40.0,100.0,100.0,44.07642,4.781722,7.806396484375007,14.923095703125007
'01,40.0,100.0,150.0,40.176899999999996,4.534898999999999,39.630126953125014,41.37573242187501
'10,40.0,100.0,150.0,44.076389999999996,4.781497999999999,13.983154296875007,18.81713867187501
'01,40.0,150.0,10.0,51.340379999999996,4.5355609999999995,-9.515380859374995,46.881103515625
'10,40.0,150.0,10.0,55.322829999999996,4.781992999999999,-21.466064453125,31.304931640625007
'01,40.0,150.0,20.0,51.340379999999996,4.5355609999999995,-8.709716796874995,46.07543945312501
