Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
genblk2[0].genblk1[2].L.NOT1.N1,NMOS,SOT523,11.0,-85.0,0.0,top
genblk2[0].genblk1[2].L.NOT1.N2,NMOS,SOT523,13.0,-85.0,0.0,top
genblk2[0].genblk1[2].L.NOT1.P1,PMOS,SOT523,11.0,-83.0,180.0,top
genblk2[0].genblk1[2].L.NOT1.P2,PMOS,SOT523,13.0,-83.0,180.0,top
genblk2[0].genblk1[2].L.NOT2.N1,NMOS,SOT523,19.0,-85.0,0.0,top
genblk2[0].genblk1[2].L.NOT2.P1,PMOS,SOT523,19.0,-83.0,180.0,top
genblk2[0].genblk1[2].L.NOT3.N1,NMOS,SOT523,17.0,-85.0,0.0,top
genblk2[0].genblk1[2].L.NOT3.N2,NMOS,SOT523,15.0,-85.0,0.0,top
genblk2[0].genblk1[2].L.NOT3.P1,PMOS,SOT523,17.0,-83.0,180.0,top
genblk2[0].genblk1[2].L.NOT3.P2,PMOS,SOT523,15.0,-83.0,180.0,top
genblk2[0].genblk1[2].R1.N1,NMOS,SOT523,23.0,-85.0,0.0,top
genblk2[0].genblk1[2].R1.N2,NMOS,SOT523,25.0,-85.0,0.0,top
genblk2[0].genblk1[2].R1.P1,PMOS,SOT523,23.0,-83.0,180.0,top
genblk2[0].genblk1[2].R1.P2,PMOS,SOT523,25.0,-83.0,180.0,top
genblk2[0].genblk1[2].R2.N1,NMOS,SOT523,27.0,-85.0,0.0,top
genblk2[0].genblk1[2].R2.N2,NMOS,SOT523,29.0,-85.0,0.0,top
genblk2[0].genblk1[2].R2.P1,PMOS,SOT523,27.0,-83.0,180.0,top
genblk2[0].genblk1[2].R2.P2,PMOS,SOT523,29.0,-83.0,180.0,top
genblk2[0].genblk1[3].D.DECAP.C,0.1u,C_0402_1005Metric,21.55,-88.0,90.0,top
genblk2[0].genblk1[3].D.L,,LED_0402_1005Metric,20.65,-87.0,90.0,top
genblk2[0].genblk1[3].D.R,330,R_0402_1005Metric,20.65,-89.0,-90.0,top
genblk2[0].genblk1[3].L.NOT1.N1,NMOS,SOT523,11.0,-87.0,180.0,top
genblk2[0].genblk1[3].L.NOT1.N2,NMOS,SOT523,13.0,-87.0,180.0,top
genblk2[0].genblk1[3].L.NOT1.P1,PMOS,SOT523,11.0,-89.0,0.0,top
genblk2[0].genblk1[3].L.NOT1.P2,PMOS,SOT523,13.0,-89.0,0.0,top
genblk2[0].genblk1[3].L.NOT2.N1,NMOS,SOT523,19.0,-87.0,180.0,top
genblk2[0].genblk1[3].L.NOT2.P1,PMOS,SOT523,19.0,-89.0,0.0,top
genblk2[0].genblk1[3].L.NOT3.N1,NMOS,SOT523,17.0,-87.0,180.0,top
genblk2[0].genblk1[3].L.NOT3.N2,NMOS,SOT523,15.0,-87.0,180.0,top
genblk2[0].genblk1[3].L.NOT3.P1,PMOS,SOT523,17.0,-89.0,0.0,top
genblk2[0].genblk1[3].L.NOT3.P2,PMOS,SOT523,15.0,-89.0,0.0,top
genblk2[0].genblk1[3].R1.N1,NMOS,SOT523,23.0,-87.0,180.0,top
genblk2[0].genblk1[3].R1.N2,NMOS,SOT523,25.0,-87.0,180.0,top
genblk2[0].genblk1[3].R1.P1,PMOS,SOT523,23.0,-89.0,0.0,top
genblk2[0].genblk1[3].R1.P2,PMOS,SOT523,25.0,-89.0,0.0,top
genblk2[0].genblk1[3].R2.N1,NMOS,SOT523,27.0,-87.0,180.0,top
genblk2[0].genblk1[3].R2.N2,NMOS,SOT523,29.0,-87.0,180.0,top
genblk2[0].genblk1[3].R2.P1,PMOS,SOT523,27.0,-89.0,0.0,top
genblk2[0].genblk1[3].R2.P2,PMOS,SOT523,29.0,-89.0,0.0,top
genblk2[1].genblk1[0].D.DECAP.C,0.1u,C_0402_1005Metric,41.55,-76.0,90.0,top
genblk2[1].genblk1[0].D.L,,LED_0402_1005Metric,40.65,-75.0,90.0,top
genblk2[1].genblk1[0].D.R,330,R_0402_1005Metric,40.65,-77.0,-90.0,top
genblk2[1].genblk1[0].L.NOT1.N1,NMOS,SOT523,31.0,-77.0,0.0,top
genblk2[1].genblk1[0].L.NOT1.N2,NMOS,SOT523,33.0,-77.0,0.0,top
genblk2[1].genblk1[0].L.NOT1.P1,PMOS,SOT523,31.0,-75.0,180.0,top
genblk2[1].genblk1[0].L.NOT1.P2,PMOS,SOT523,33.0,-75.0,180.0,top
genblk2[1].genblk1[0].L.NOT2.N1,NMOS,SOT523,39.0,-77.0,0.0,top
genblk2[1].genblk1[0].L.NOT2.P1,PMOS,SOT523,39.0,-75.0,180.0,top
genblk2[1].genblk1[0].L.NOT3.N1,NMOS,SOT523,37.0,-77.0,0.0,top
genblk2[1].genblk1[0].L.NOT3.N2,NMOS,SOT523,35.0,-77.0,0.0,top
genblk2[1].genblk1[0].L.NOT3.P1,PMOS,SOT523,37.0,-75.0,180.0,top
genblk2[1].genblk1[0].L.NOT3.P2,PMOS,SOT523,35.0,-75.0,180.0,top
genblk2[1].genblk1[0].R1.N1,NMOS,SOT523,43.0,-77.0,0.0,top
genblk2[1].genblk1[0].R1.N2,NMOS,SOT523,45.0,-77.0,0.0,top
genblk2[1].genblk1[0].R1.P1,PMOS,SOT523,43.0,-75.0,180.0,top
genblk2[1].genblk1[0].R1.P2,PMOS,SOT523,45.0,-75.0,180.0,top
genblk2[1].genblk1[0].R2.N1,NMOS,SOT523,47.0,-77.0,0.0,top
genblk2[1].genblk1[0].R2.N2,NMOS,SOT523,49.0,-77.0,0.0,top
genblk2[1].genblk1[0].R2.P1,PMOS,SOT523,47.0,-75.0,180.0,top
genblk2[1].genblk1[0].R2.P2,PMOS,SOT523,49.0,-75.0,180.0,top
genblk2[1].genblk1[1].D.DECAP.C,0.1u,C_0402_1005Metric,41.55,-80.0,90.0,top
genblk2[1].genblk1[1].D.L,,LED_0402_1005Metric,40.65,-79.0,90.0,top
genblk2[1].genblk1[1].D.R,330,R_0402_1005Metric,40.65,-81.0,-90.0,top
genblk2[1].genblk1[1].L.NOT1.N1,NMOS,SOT523,31.0,-79.0,180.0,top
genblk2[1].genblk1[1].L.NOT1.N2,NMOS,SOT523,33.0,-79.0,180.0,top
